district,gadm_name,access_pct,poverty_pct,data_legibility,poverty_flag,dist_grid_km,population_000,phi1_metering,phi2_billing,phi3_outage_log,phi4_gis_assets,phi5_recency_mo,phi6_interop,DRI,DBI,DBI_tier
Western Area Urban,Western Area Urban,83,18,88,0,0,1236,95,90,85,88,88,82,100.0,15.85,Low
Western Area Rural,Western Area Rural,34,54,42,0,15,444,42,40,38,40,42,36,39.442935086811396,59.4,High
Bo,Bo,42,55,58,0,82,652,60,58,56,58,58,55,61.74187509705269,52.150000000000006,High
Kenema,Kenema,38,58,52,0,120,609,55,50,48,50,50,46,52.19653964483366,56.39999999999999,High
Kono,Kono,28,66,38,1,280,505,38,36,35,36,38,32,34.64231907437421,66.9,High
Bombali,Bombali,32,65,45,1,160,504,44,45,42,44,45,40,44.01117241372484,63.05,High
Tonkolili,Tonkolili,15,72,22,1,220,561,22,20,18,20,20,18,14.402611969789431,78.35,Critical
Port Loko,Port Loko,27,62,40,1,90,604,40,38,36,38,38,34,36.524769485652655,65.25000000000001,High
Kambia,Kambia,18,70,28,1,180,345,28,25,24,24,26,22,20.88186859629134,74.79999999999998,Critical
Koinadugu,Koinadugu,12,82,15,1,320,268,15,14,13,14,14,12,6.8800163205676546,85.0,Critical
Falaba,Falaba,9,85,10,1,380,185,10,8,7,8,9,7,0.0,88.6,Critical
Kailahun,Kailahun,11,78,18,1,340,517,18,17,16,16,16,14,10.017799971954346,83.05,Critical
Pujehun,Pujehun,10,79,20,1,210,325,20,18,17,18,18,16,12.103939706961324,83.14999999999999,Critical
Moyamba,Moyamba,14,74,32,1,150,361,30,28,26,28,30,25,24.62894070446617,76.4,Critical
